,SMA,average_return
0,The 2 sma,0.034765468491275486
1,The 3 sma,0.04368229588828276
2,The 4 sma,0.03278439166474367
3,The 5 sma,0.033774254351863764
4,The 6 sma,0.0344112028429886
5,The 7 sma,0.03508210879925633
6,The 8 sma,0.028541402535086524
7,The 9 sma,0.022302667974068546
8,The 10 sma,0.029180245842326036
9,The 11 sma,0.03132020355777754
10,The 12 sma,0.021896214576399897
11,The 13 sma,0.025345965808063475
12,The 14 sma,0.03069172163318945
13,The 15 sma,0.030986579117432855
14,The 16 sma,0.0338915326746998
15,The 17 sma,0.036503834214118625
16,The 18 sma,0.03389165142193984
17,The 19 sma,0.03752032662016491
18,The 20 sma,0.03533009810501553
19,The 21 sma,0.03545942064883634
20,The 22 sma,0.03424404775867562
21,The 23 sma,0.037538674928121685
22,The 24 sma,0.037540894940240266
23,The 25 sma,0.04017213900926819
24,The 26 sma,0.04399416978077264
25,The 27 sma,0.044986270198524414
26,The 28 sma,0.04791656620858187
27,The 29 sma,0.04769431889734843
28,The 30 sma,0.04882462027701173
29,The 31 sma,0.05147374944560368
30,The 32 sma,0.04881934669466137
31,The 33 sma,0.048354220615903776
32,The 34 sma,0.047674112324533224
33,The 35 sma,0.044040337396521245
34,The 36 sma,0.04136802770235315
35,The 37 sma,0.03778728650806462
36,The 38 sma,0.03913458163884731
37,The 39 sma,0.03730580265455785
38,The 40 sma,0.036794615480311155
39,The 41 sma,0.03578921827304882
40,The 42 sma,0.03667176319359844
41,The 43 sma,0.03799873826130118
42,The 44 sma,0.037751754745612764
43,The 45 sma,0.03463087090340067
44,The 46 sma,0.0383600723129951
45,The 47 sma,0.03844894732776005
46,The 48 sma,0.04104151403537948
47,The 49 sma,0.0422865819447622
48,The 50 sma,0.045263171570026905
49,The 51 sma,0.042073099445937956
50,The 52 sma,0.04169175152901983
51,The 53 sma,0.0428807760271841
52,The 54 sma,0.04135984524293845
53,The 55 sma,0.04274508063833915
54,The 56 sma,0.04479704163263065
55,The 57 sma,0.046068481833139385
56,The 58 sma,0.05056256609096077
57,The 59 sma,0.05001035718305902
58,The 60 sma,0.050881334625902275
59,The 61 sma,0.05128428440147048
60,The 62 sma,0.05183597551151897
61,The 63 sma,0.05171189760067807
62,The 64 sma,0.05057811790146949
63,The 65 sma,0.0492885100898488
64,The 66 sma,0.05049304222268858
65,The 67 sma,0.051710239139619585
66,The 68 sma,0.052444951551999575
67,The 69 sma,0.05064812696006227
68,The 70 sma,0.04828803890097366
69,The 71 sma,0.04683707932608594
70,The 72 sma,0.04792723878255778
71,The 73 sma,0.04838946423548429
72,The 74 sma,0.048999710461031354
73,The 75 sma,0.049483846902273365
74,The 76 sma,0.050810276718731284
75,The 77 sma,0.05008087167981312
76,The 78 sma,0.05197297963260428
77,The 79 sma,0.05157411726173455
78,The 80 sma,0.05407420766162807
79,The 81 sma,0.05343496900942779
80,The 82 sma,0.05510840654923199
81,The 83 sma,0.05193303179077513
82,The 84 sma,0.049390903034119304
83,The 85 sma,0.04803949527043061
84,The 86 sma,0.04644986662110151
85,The 87 sma,0.04456185843503535
86,The 88 sma,0.04538523540690642
87,The 89 sma,0.044197859727200584
88,The 90 sma,0.04488838079089019
89,The 91 sma,0.04679130703213952
90,The 92 sma,0.045319277618650844
91,The 93 sma,0.04575778106683548
92,The 94 sma,0.04591666921330728
93,The 95 sma,0.04585420889929703
94,The 96 sma,0.0467083219329989
95,The 97 sma,0.04731782457364675
96,The 98 sma,0.04628183878133596
97,The 99 sma,0.04580124548962061
98,The 100 sma,0.046084320351777786
99,The 101 sma,0.045348602286721995
100,The 102 sma,0.04777744565896347
101,The 103 sma,0.04444928928205871
102,The 104 sma,0.04653368937250302
103,The 105 sma,0.045933236495731666
104,The 106 sma,0.04563345132637742
105,The 107 sma,0.04731264796745105
106,The 108 sma,0.0482228923225374
107,The 109 sma,0.046647254598942034
108,The 110 sma,0.046048948590886374
109,The 111 sma,0.04577894496038093
110,The 112 sma,0.04615850935995636
111,The 113 sma,0.04756582101873419
112,The 114 sma,0.045984808827668644
113,The 115 sma,0.04541786223098132
114,The 116 sma,0.04515418668226823
115,The 117 sma,0.04336261974352018
116,The 118 sma,0.04450472947766104
117,The 119 sma,0.04637081128292131
118,The 120 sma,0.04713248798875158
119,The 121 sma,0.049726133403856565
120,The 122 sma,0.051093232484546114
121,The 123 sma,0.05054964139718976
122,The 124 sma,0.05207908951075346
123,The 125 sma,0.05333491578423155
124,The 126 sma,0.052207319913403216
125,The 127 sma,0.051496719331962204
126,The 128 sma,0.05277266863506869
127,The 129 sma,0.05080322146108984
128,The 130 sma,0.05078215402375341
129,The 131 sma,0.05082226369344078
130,The 132 sma,0.05008764820594358
131,The 133 sma,0.05047611493150028
132,The 134 sma,0.04947835543791568
133,The 135 sma,0.05044349572085016
134,The 136 sma,0.05057903889692317
135,The 137 sma,0.04982657637090426
136,The 138 sma,0.05128144710641669
137,The 139 sma,0.05281304348869331
138,The 140 sma,0.05258963234295555
139,The 141 sma,0.0526575871661088
140,The 142 sma,0.05435283480423658
141,The 143 sma,0.053893908902612475
142,The 144 sma,0.05480049421830957
143,The 145 sma,0.05573486019862517
144,The 146 sma,0.05586670051547338
145,The 147 sma,0.05594417015446074
146,The 148 sma,0.05501683761613951
147,The 149 sma,0.05574678871514327
148,The 150 sma,0.057705853140978425
149,The 151 sma,0.05968835334468081
150,The 152 sma,0.0595819721683164
151,The 153 sma,0.060820635072685425
152,The 154 sma,0.06258289479711077
153,The 155 sma,0.06195514229898191
154,The 156 sma,0.06084874614532154
155,The 157 sma,0.05970946305515912
156,The 158 sma,0.060497926847692396
157,The 159 sma,0.06059059855922655
158,The 160 sma,0.06076715213124695
159,The 161 sma,0.06212203905735558
160,The 162 sma,0.0624922869042257
161,The 163 sma,0.06223393739606742
162,The 164 sma,0.06268437926971338
163,The 165 sma,0.06547178383814134
164,The 166 sma,0.06448725112043108
165,The 167 sma,0.06501716137254454
166,The 168 sma,0.06382697820340955
167,The 169 sma,0.06269368978635281
168,The 170 sma,0.0607363780745529
169,The 171 sma,0.061126529909266925
170,The 172 sma,0.06331908871470149
171,The 173 sma,0.06435157735487018
172,The 174 sma,0.06414628022225544
173,The 175 sma,0.06427501078262599
174,The 176 sma,0.0624563330234833
175,The 177 sma,0.06314664840773498
176,The 178 sma,0.06179629593684455
177,The 179 sma,0.0625683982534373
178,The 180 sma,0.06239590039671272
179,The 181 sma,0.06234215214012662
180,The 182 sma,0.06369822032252515
181,The 183 sma,0.06439509616646921
182,The 184 sma,0.06495708640186226
183,The 185 sma,0.06647008042615488
184,The 186 sma,0.06701596433188528
185,The 187 sma,0.06650393646682651
186,The 188 sma,0.0666924127372861
187,The 189 sma,0.06816257700395734
188,The 190 sma,0.07021232032843416
189,The 191 sma,0.0702189832522857
190,The 192 sma,0.07110535882726476
191,The 193 sma,0.07151774572569769
192,The 194 sma,0.07161449041695622
193,The 195 sma,0.07039491159417643
194,The 196 sma,0.06973504285648313
195,The 197 sma,0.07046301996373683
196,The 198 sma,0.07007228545437183
197,The 199 sma,0.07030310441003507
198,The 200 sma,0.069703761237079
199,The 201 sma,0.07090185310423469
200,The 202 sma,0.06929363552052892
201,The 203 sma,0.06808755238963582
202,The 204 sma,0.0686585808432072
203,The 205 sma,0.07077606962480787
204,The 206 sma,0.07070826068681657
205,The 207 sma,0.06922960101849318
206,The 208 sma,0.07077476561883822
207,The 209 sma,0.07184591665979378
208,The 210 sma,0.07283047859362668
209,The 211 sma,0.07376380707753483
210,The 212 sma,0.07466308855597403
211,The 213 sma,0.07577482508285782
212,The 214 sma,0.07625993459001568
213,The 215 sma,0.07582983781669328
214,The 216 sma,0.07629153183463733
215,The 217 sma,0.07626747511808096
216,The 218 sma,0.07562002969976245
217,The 219 sma,0.07512887567570825
218,The 220 sma,0.07623382809638057
219,The 221 sma,0.07787922607490927
220,The 222 sma,0.07664158849375946
221,The 223 sma,0.07646532210202683
222,The 224 sma,0.07677537802298007
223,The 225 sma,0.07714885944821259
224,The 226 sma,0.07591391462877439
225,The 227 sma,0.07570392860230601
226,The 228 sma,0.07549159649186388
227,The 229 sma,0.07586514383078957
228,The 230 sma,0.07652937901867785
229,The 231 sma,0.0762823065170648
230,The 232 sma,0.0752719907373034
231,The 233 sma,0.07398685880317113
232,The 234 sma,0.07449705892737946
233,The 235 sma,0.0758811863820732
234,The 236 sma,0.07621799853560884
235,The 237 sma,0.07681320522624735
236,The 238 sma,0.0766885925223173
237,The 239 sma,0.07523979955900617
238,The 240 sma,0.07457983919802458
239,The 241 sma,0.07517029051118951
240,The 242 sma,0.07596002838240379
241,The 243 sma,0.0763179228191595
242,The 244 sma,0.07644008170140015
243,The 245 sma,0.07689119085928042
244,The 246 sma,0.07787550441606661
245,The 247 sma,0.0788824191436297
246,The 248 sma,0.0787186110277831
247,The 249 sma,0.07821667457987957
248,The 250 sma,0.0779017627903631
249,The 251 sma,0.07731286526548553
250,The 252 sma,0.07685341302267834
251,The 253 sma,0.07751426576898557
252,The 254 sma,0.07806954709748726
253,The 255 sma,0.0807140847665011
254,The 256 sma,0.08042260567411597
255,The 257 sma,0.07940372702225584
256,The 258 sma,0.08018326077673787
257,The 259 sma,0.08069934502948684
258,The 260 sma,0.0810402404315329
259,The 261 sma,0.08184338524139645
260,The 262 sma,0.08196460609341405
261,The 263 sma,0.08188769287719788
262,The 264 sma,0.0819662618368131
263,The 265 sma,0.08106694540803883
264,The 266 sma,0.08054985454608632
265,The 267 sma,0.0798723865705897
266,The 268 sma,0.07873638348044731
267,The 269 sma,0.07858790356568779
268,The 270 sma,0.08014791578268787
269,The 271 sma,0.07964419823411184
270,The 272 sma,0.07961207055115804
271,The 273 sma,0.07675175785553767
272,The 274 sma,0.07671100295081756
273,The 275 sma,0.07556461781511858
274,The 276 sma,0.07426254622508455
275,The 277 sma,0.07469920434998056
276,The 278 sma,0.0740531932462849
277,The 279 sma,0.06833744933137909
278,The 280 sma,0.06831370728820652
279,The 281 sma,0.06791072729442482
280,The 282 sma,0.07013157999896369
281,The 283 sma,0.06974205424220736
282,The 284 sma,0.0700533107582646
283,The 285 sma,0.06908063839007594
284,The 286 sma,0.06890933895520379
285,The 287 sma,0.0694028295634388
286,The 288 sma,0.06922603764654478
287,The 289 sma,0.06944972444389697
288,The 290 sma,0.07061587990310714
289,The 291 sma,0.07053635575326878
290,The 292 sma,0.06783777807241043
291,The 293 sma,0.06810534902808096
292,The 294 sma,0.06842255956160792
293,The 295 sma,0.06855806538315834
294,The 296 sma,0.06801508334595296
295,The 297 sma,0.06822673877610819
296,The 298 sma,0.06913765086363077
297,The 299 sma,0.06952083201743986
298,The 300 sma,0.06994314950126168
